product_id,review_text,rating
1,Great sound quality and battery life!,5
1,Works fine but fits loosely.,3
1,Average build quality but decent for the price.,3
1,Sound distorts at full volume.,2

2,Very accurate tracking and good screen.,5
2,Battery doesn’t last as long as expected.,3
2,Lightweight and easy to use.,4
2,Screen is bright but colors look washed out.,2

3,Perfect fit and protects my laptop.,5
3,Good material but zip feels weak.,3
3,Decent case but overpriced.,3
3,Stitching came off after a month.,2

4,Keys feel amazing for gaming!,5
4,Too loud for office environment.,3
4,Good lighting effects and response time.,5
4,Some keys stopped working after 3 months.,2

5,Charges my phone super fast.,5
5,Compact and easy to carry.,4
5,Heats up a bit while charging.,3
5,Stopped working after a few weeks.,1

6,Comfortable shoes for daily running.,4
6,Good support and lightweight.,5
6,Material quality is okay for the price.,3
6,Sole wore out faster than expected.,2

7,Keeps water cold for hours!,5
7,Very sturdy and leak-proof.,5
7,Paint started chipping after a month.,3
7,Too heavy to carry around.,2

8,Very comfortable chair for long workdays.,5
8,Assembly was a bit difficult.,4
8,Good lumbar support.,5
8,Metal frame feels a bit shaky.,3

9,Nice desk lamp with brightness control.,5
9,Energy-efficient and slim design.,5
9,Base is not very stable.,3
9,Stopped working suddenly.,1

10,Makes excellent coffee.,5
10,Easy to clean and use.,5
10,Takes a bit long to heat up.,3
10,Plastic quality could be better.,2



